id,name,tags,rule
corpus-titled-chicken-corn-chowder,Chicken Corn Chowder,"dinner,lunch",default main → lunch + dinner
corpus-titled-italian-bread,Italian Bread,"dinner,lunch",default main → lunch + dinner
corpus-titled-pumpkin-dip,Pumpkin Dip,"dinner,lunch",default main → lunch + dinner
corpus-titled-crustless-quiche,Crustless Quiche,"dinner,lunch",default main → lunch + dinner
corpus-titled-fish-stew,Fish Stew,"dinner,lunch",default main → lunch + dinner
corpus-titled-armadillo-eggs,Armadillo Eggs,"dinner,lunch",default main → lunch + dinner
corpus-titled-roasted-chicken,Roasted Chicken,"dinner,lunch",default main → lunch + dinner
corpus-titled-tamale-casserole,Tamale Casserole,"dinner,lunch",default main → lunch + dinner
corpus-titled-cabbage-and-noodles,Cabbage And Noodles,"dinner,lunch",default main → lunch + dinner
corpus-titled-cream-cheese-squares,Cream Cheese Squares,"dinner,lunch",default main → lunch + dinner
corpus-titled-no-bake-peanut-butter-cookies,No Bake Peanut Butter Cookies,dessert,dessert
corpus-titled-barbecue-shrimp,Barbecue Shrimp,"dinner,lunch",default main → lunch + dinner
corpus-titled-turkey-stuffing,Turkey Stuffing,"dinner,lunch",default main → lunch + dinner
corpus-titled-scalloped-potatoes-and-ham,Scalloped Potatoes And Ham,"dinner,lunch",default main → lunch + dinner
corpus-titled-maple-syrup,Maple Syrup,"dinner,lunch",default main → lunch + dinner
corpus-titled-barbecue-brisket,Barbecue Brisket,"dinner,lunch",default main → lunch + dinner
corpus-titled-turkey-soup,Turkey Soup,"dinner,lunch",default main → lunch + dinner
corpus-titled-brandy-slush,Brandy Slush,"dinner,lunch",default main → lunch + dinner
corpus-titled-leek-and-potato-soup,Leek And Potato Soup,"dinner,lunch",default main → lunch + dinner
corpus-titled-frog-eye-salad,Frog Eye Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-lemon-cheese-cake,Lemon Cheese Cake,dessert,dessert
corpus-titled-banana-chocolate-chip-muffins,Banana Chocolate Chip Muffins,"dinner,lunch",default main → lunch + dinner
corpus-titled-s-banana-bread,S Banana Bread,"dinner,lunch",default main → lunch + dinner
corpus-titled-sweet-potato-bake,Sweet Potato Bake,"dinner,lunch",default main → lunch + dinner
corpus-titled-apple-torte,Apple Torte,"dinner,lunch",default main → lunch + dinner
corpus-titled-tomatillo-salsa,Tomatillo Salsa,"dinner,lunch",default main → lunch + dinner
corpus-titled-marinated-chicken,Marinated Chicken,"dinner,lunch",default main → lunch + dinner
corpus-titled-caesar-dressing,Caesar Dressing,"dinner,lunch",default main → lunch + dinner
corpus-titled-caramelized-onions,Caramelized Onions,"dinner,lunch",default main → lunch + dinner
corpus-titled-basil-pesto,Basil Pesto,"dinner,lunch",default main → lunch + dinner
corpus-titled-peanut-butter-cream-pie,Peanut Butter Cream Pie,dessert,dessert
corpus-titled-cabbage-patch-stew,Cabbage Patch Stew,"dinner,lunch",default main → lunch + dinner
corpus-titled-no-crust-coconut-pie,No Crust Coconut Pie,dessert,dessert
corpus-titled-pink-punch,Pink Punch,"dinner,lunch",default main → lunch + dinner
corpus-titled-vichyssoise,Vichyssoise,"dinner,lunch",default main → lunch + dinner
corpus-titled-blueberry-crisp,Blueberry Crisp,"dinner,lunch",default main → lunch + dinner
corpus-titled-rye-bread,Rye Bread,"dinner,lunch",default main → lunch + dinner
corpus-titled-honey-butter,Honey Butter,"dinner,lunch",default main → lunch + dinner
corpus-titled-pecan-squares,Pecan Squares,"dinner,lunch",default main → lunch + dinner
corpus-titled-layered-bean-dip,Layered Bean Dip,"dinner,lunch",default main → lunch + dinner
corpus-titled-green-goddess-dressing,Green Goddess Dressing,"dinner,lunch",default main → lunch + dinner
corpus-titled-chicken-rolls,Chicken Rolls,"dinner,lunch",default main → lunch + dinner
corpus-titled-sweet-and-sour-carrots,Sweet And Sour Carrots,"dinner,lunch",default main → lunch + dinner
corpus-titled-hamburger-vegetable-soup,Hamburger Vegetable Soup,"dinner,lunch",default main → lunch + dinner
corpus-titled-okra-and-tomatoes,Okra And Tomatoes,"dinner,lunch",default main → lunch + dinner
corpus-titled-spring-salad,Spring Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-poor-man-s-cake,Poor Man'S Cake,dessert,dessert
corpus-titled-tuna-dip,Tuna Dip,"dinner,lunch",default main → lunch + dinner
corpus-titled-no-bake-chocolate-oatmeal-cookies,No Bake Chocolate Oatmeal Cookies,dessert,dessert
corpus-titled-texas-cake,Texas Cake,dessert,dessert
corpus-titled-chocolate-chip-pudding-cookies,Chocolate Chip Pudding Cookies,dessert,dessert
corpus-titled-green-rice-casserole,Green Rice Casserole,"dinner,lunch",default main → lunch + dinner
corpus-titled-gnocchi,Gnocchi,"dinner,lunch",default main → lunch + dinner
corpus-titled-pineapple-drop-cookies,Pineapple Drop Cookies,dessert,dessert
corpus-titled-salmon-salad,Salmon Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-donuts,Donuts,dessert,dessert
corpus-titled-ice-cream-sandwiches,Ice Cream Sandwiches,dessert,dessert
corpus-titled-pineapple-zucchini-bread,Pineapple Zucchini Bread,"dinner,lunch",default main → lunch + dinner
corpus-titled-rhubarb-upside-down-cake,Rhubarb Upside-Down Cake,dessert,dessert
corpus-titled-coffee-punch,Coffee Punch,"dinner,lunch",default main → lunch + dinner
corpus-titled-scotcheroos,Scotcheroos,"dinner,lunch",default main → lunch + dinner
corpus-titled-chicken-florentine,Chicken Florentine,"dinner,lunch",default main → lunch + dinner
corpus-titled-rocky-road,Rocky Road,"dinner,lunch",default main → lunch + dinner
corpus-titled-risotto,Risotto,"dinner,lunch",default main → lunch + dinner
corpus-titled-beef-and-noodles,Beef And Noodles,"dinner,lunch",default main → lunch + dinner
corpus-titled-spinach-and-artichoke-dip,Spinach And Artichoke Dip,"dinner,lunch",default main → lunch + dinner
corpus-titled-pastitsio,Pastitsio,"dinner,lunch",default main → lunch + dinner
corpus-titled-white-sangria,White Sangria,snack,drink → snack
corpus-titled-cream-puff-dessert,Cream Puff Dessert,dessert,dessert
corpus-titled-s-chili,S Chili,"dinner,lunch",default main → lunch + dinner
corpus-titled-wedding-cookies,Wedding Cookies,dessert,dessert
corpus-titled-fresh-tomato-salsa,Fresh Tomato Salsa,"dinner,lunch",default main → lunch + dinner
corpus-titled-beef-noodle-casserole,Beef Noodle Casserole,"dinner,lunch",default main → lunch + dinner
corpus-titled-potato-salad-dressing,Potato Salad Dressing,"dinner,lunch",default main → lunch + dinner
corpus-titled-sausage-stuffing,Sausage Stuffing,"dinner,lunch",default main → lunch + dinner
corpus-titled-carrot-cookies,Carrot Cookies,dessert,dessert
corpus-titled-lime-pickles,Lime Pickles,"dinner,lunch",default main → lunch + dinner
corpus-titled-oven-barbecued-chicken,Oven Barbecued Chicken,"dinner,lunch",default main → lunch + dinner
corpus-titled-frozen-cherry-salad,Frozen Cherry Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-baked-lasagna,Baked Lasagna,"dinner,lunch",default main → lunch + dinner
corpus-titled-spaghetti-pizza,Spaghetti Pizza,"dinner,lunch",default main → lunch + dinner
corpus-titled-caramel-bars,Caramel Bars,"dinner,lunch",default main → lunch + dinner
corpus-titled-breakfast-souffle,Breakfast Souffle,breakfast,breakfast
corpus-titled-chicken-marengo,Chicken Marengo,"dinner,lunch",default main → lunch + dinner
corpus-titled-stuffed-acorn-squash,Stuffed Acorn Squash,"dinner,lunch",default main → lunch + dinner
corpus-titled-mayonnaise-biscuits,Mayonnaise Biscuits,"dinner,lunch",default main → lunch + dinner
corpus-titled-creamy-tomato-soup,Creamy Tomato Soup,"dinner,lunch",default main → lunch + dinner
corpus-titled-russian-salad,Russian Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-sugar-cream-pie,Sugar Cream Pie,dessert,dessert
corpus-titled-lemon-poppy-seed-bread,Lemon Poppy Seed Bread,"dinner,lunch",default main → lunch + dinner
corpus-titled-breakfast,Breakfast,breakfast,breakfast
corpus-titled-rocky-road-brownies,Rocky Road Brownies,dessert,dessert
corpus-titled-crab-rangoon,Crab Rangoon,"dinner,lunch",default main → lunch + dinner
corpus-titled-carrot-muffins,Carrot Muffins,"dinner,lunch",default main → lunch + dinner
corpus-titled-coconut-rice,Coconut Rice,"dinner,lunch",default main → lunch + dinner
corpus-titled-steak-au-poivre,Steak Au Poivre,"dinner,lunch",default main → lunch + dinner
corpus-titled-mojito,Mojito,snack,drink → snack
corpus-titled-blueberry-cream-pie,Blueberry Cream Pie,dessert,dessert
corpus-titled-fresh-broccoli-salad,Fresh Broccoli Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-pork-chop-dinner,Pork Chop Dinner,"dinner,lunch",default main → lunch + dinner
corpus-titled-baked-cabbage,Baked Cabbage,"dinner,lunch",default main → lunch + dinner
corpus-titled-strawberry-mousse,Strawberry Mousse,dessert,dessert
corpus-titled-broccoli,Broccoli,"dinner,lunch",default main → lunch + dinner
corpus-titled-pita-bread,Pita Bread,"dinner,lunch",default main → lunch + dinner
corpus-titled-marinated-salad,Marinated Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-hot-dog-relish,Hot Dog Relish,"dinner,lunch",default main → lunch + dinner
corpus-titled-hot-fudge-sundae-cake,Hot Fudge Sundae Cake,dessert,dessert
corpus-titled-mushroom-barley-soup,Mushroom Barley Soup,"dinner,lunch",default main → lunch + dinner
corpus-titled-wine-cake,Wine Cake,dessert,dessert
corpus-titled-hot-dip,Hot Dip,"dinner,lunch",default main → lunch + dinner
corpus-titled-tater-tot-hot-dish,Tater Tot Hot Dish,"dinner,lunch",default main → lunch + dinner
corpus-titled-apple-bars,Apple Bars,"dinner,lunch",default main → lunch + dinner
corpus-titled-pickled-shrimp,Pickled Shrimp,"dinner,lunch",default main → lunch + dinner
corpus-titled-salmon-dip,Salmon Dip,"dinner,lunch",default main → lunch + dinner
corpus-titled-crunchy-pea-salad,Crunchy Pea Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-parker-house-rolls,Parker House Rolls,"dinner,lunch",default main → lunch + dinner
corpus-titled-cheddar-cheese-soup,Cheddar Cheese Soup,"dinner,lunch",default main → lunch + dinner
corpus-titled-deviled-crab,Deviled Crab,"dinner,lunch",default main → lunch + dinner
corpus-titled-mexican-roll-ups,Mexican Roll-Ups,"dinner,lunch",default main → lunch + dinner
corpus-titled-chicken-crunch,Chicken Crunch,"dinner,lunch",default main → lunch + dinner
